src 10.0.1.10,src 10.0.1.30,src 10.0.1.70,src 10.0.1.170,src 10.0.2.20,src 10.0.2.80,src 10.0.2.160,src 10.0.2.180,dst 10.0.1.10,dst 10.0.1.30,dst 10.0.1.70,dst 10.0.1.170,dst 10.0.2.20,dst 10.0.2.80,dst 10.0.2.160,dst 10.0.2.180,dst 10.0.2.200,Lenght Tot.Pkt,Lenght Avg,Lenght Std,Total #Pkt,TCP #Pkt,UDP #Pkt,HTTP #Pkt,ICMP #Pkt,TCP Bytes,UDP Bytes,HTTP Bytes,ICMP Bytes,Syn Flag,Ack Flag,SynAck Flag,Psh Flag,Rst Flag,Fin Flag,Urg Flag,Class
5,17,0,0,5,12,0,0,5,12,0,0,5,17,0,0,0,64293,62562.226,7031.92,39,35,2,29,2,60285,2856,58473,1152,2,34,1,18,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62585.506,6993.689,37,33,3,29,1,59681,4284,58473,576,2,32,1,15,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62582.058,6952.982,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62604.575,6916.059,37,33,3,29,1,59681,4284,58473,576,2,32,1,16,0,2,0,0
4,15,0,0,4,14,0,0,4,14,0,0,4,15,0,0,0,62289,62600.989,6876.733,37,35,1,29,1,60285,1428,58473,576,2,34,1,15,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,63141,62607.056,6838.227,37,35,2,29,0,60285,2856,58473,0,2,34,1,17,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,62596.811,6800.818,35,33,1,29,1,59681,1428,58473,576,2,32,1,16,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62624.813,6768.563,39,35,3,29,1,60285,4284,58473,576,2,34,1,17,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62621.163,6731.766,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,63689,62632.645,6696.382,37,33,2,29,2,59681,2856,58473,1152,2,32,1,17,0,2,0,0
4,12,0,0,6,15,0,0,6,15,0,0,4,12,0,0,0,65041,62658.266,6665.249,37,33,3,27,1,60181,4284,58369,576,2,32,1,13,0,2,0,0
3,15,0,0,3,14,0,0,3,14,0,0,3,15,0,0,0,61685,62648.021,6630.82,35,33,1,29,1,59681,1428,58473,576,2,32,1,14,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62674.031,6601.064,39,35,3,29,1,60285,4284,58473,576,2,34,1,16,0,2,0,0
3,15,0,0,3,14,0,0,3,14,0,0,3,15,0,0,0,60285,62649.402,6571.382,35,35,0,29,0,60285,0,58473,0,2,34,1,15,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62668.704,6540.532,37,33,3,29,1,59681,4284,58473,576,2,32,1,15,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62664.869,6507.526,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
4,15,0,0,4,13,0,0,4,13,0,0,4,15,0,0,0,63637,62674.59,6475.629,36,32,2,28,2,59629,2856,58421,1152,2,31,1,14,0,2,0,0
4,15,0,0,6,13,0,0,6,13,0,0,4,15,0,0,0,65093,62698.535,6447.939,38,34,3,28,1,60233,4284,58421,576,2,33,1,15,0,2,0,0
4,15,0,0,4,14,0,0,4,14,0,0,4,15,0,0,0,62289,62694.52,6416.38,37,35,1,29,1,60285,1428,58473,576,2,34,1,15,0,2,0,0
